participant_id,activity,phase,window_id,start_time,end_time,mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate
GOAWE,debout immobile,1,20,2024-09-19T15:46:35Z,2024-09-19T15:46:39.966667Z,-0.0206801001828867,0.00323647296471361,-0.0205587424209148,0.00283069077411956,-0.0346335549141862,-0.0138108273370043,0.0208227275771818,2.02702702702703,3.21957648771676,0.00436386741131263,0.390437631712061,0.582229879618383,0.34
GOAWE,debout immobile,1,21,2024-09-19T15:46:40Z,2024-09-19T15:46:44.966667Z,-0.0209990040092252,0.00321646875210819,-0.0209672935982033,0.00326108954912311,-0.0318364838819406,-0.0124295123239889,0.0194069715579517,8.10810810810811,3.27957076845824,0.0326595151990616,0.241931933501773,0.685475621153707,0.34
GOAWE,debout immobile,1,22,2024-09-19T15:46:45Z,2024-09-19T15:46:49.966667Z,-0.02100670077821,0.00270813293027647,-0.0209393425737474,0.00251250794354112,-0.0296968108432198,-0.0138572126097913,0.0158395982334285,2.02702702702703,3.29390987555543,0.0406962255536113,0.301833305509848,0.620478708497193,0.346666666666667
GOAWE,debout immobile,1,23,2024-09-19T15:46:50Z,2024-09-19T15:46:54.966667Z,-0.0203044374221306,0.00288784417745241,-0.020186860463337,0.00288502052991941,-0.0292406040165777,-0.0144383699631425,0.0148022340534352,2.02702702702703,3.25553831562046,0.0162356504920849,0.337486443520505,0.60601725804585,0.34
GOAWE,debout immobile,1,24,2024-09-19T15:46:55Z,2024-09-19T15:46:59.966667Z,-0.0202349468726124,0.00323126270538938,-0.0199434625571058,0.00327235568152175,-0.0297486445653212,-0.0104271821077736,0.0193214624575476,6.08108108108108,3.42500048979441,0.0444415223398492,0.248811217799772,0.677683997021566,0.346666666666667
GOAWE,debout immobile,1,25,2024-09-19T15:47:00Z,2024-09-19T15:47:04.966667Z,-0.020658398173852,0.00289847750380625,-0.0204225632625009,0.00300075870226976,-0.0286749802970994,-0.0140423890419339,0.0146325912551655,2.02702702702703,3.45287405983343,0.032587562173639,0.295183002830458,0.630909523622278,0.333333333333333
GOAWE,debout immobile,1,26,2024-09-19T15:47:05Z,2024-09-19T15:47:09.966667Z,-0.02039895134059,0.00333524355577097,-0.0205902412116022,0.00344473120515055,-0.0290995920214326,-0.0111542345550121,0.0179453574664206,2.02702702702703,3.24945442647977,0.0293562376668085,0.27717225403579,0.653565349542469,0.293333333333333
GOAWE,debout immobile,1,27,2024-09-19T15:47:10Z,2024-09-19T15:47:14.966667Z,-0.0198423427718934,0.00318235528045842,-0.0196712883494749,0.00322492379373957,-0.0293193156613676,-0.0122220292523783,0.0170972864089893,2.02702702702703,3.20523837272993,0.0054278555107826,0.305715526582529,0.654205576842766,0.366666666666667
GOAWE,debout immobile,1,28,2024-09-19T15:47:15Z,2024-09-19T15:47:19.966667Z,-0.0200150114097225,0.00324859483983603,-0.0201612926664629,0.00276206231242411,-0.0302632454552555,-0.00806091433724265,0.0222023311180128,8.10810810810811,3.33770958611397,0.13419963910404,0.275495210573663,0.556427503348943,0.373333333333333
GOAWE,debout immobile,1,29,2024-09-19T15:47:20Z,2024-09-19T15:47:24.966667Z,-0.0201626712750335,0.00337415104449788,-0.0197997377160661,0.0026696952944938,-0.0316339345065261,-0.0128456936353423,0.0187882408711838,2.02702702702703,3.216896814454,0.00700034273566165,0.294491962425751,0.667249304014814,0.36
