participant_id,activity,phase,window_id,start_time,end_time,sd_ENMO,dom_freq,energy_band_1,median_ENMO
BIRRO,debout immobile,1,16,2024-09-19T15:39:15Z,2024-09-19T15:39:19.966667Z,0.00361195846763562,6.08108108108108,0.00782341550529444,-0.0136776497923612
BIRRO,debout immobile,1,17,2024-09-19T15:39:20Z,2024-09-19T15:39:24.966667Z,0.00379586593454377,2.02702702702703,0.0389274332192593,-0.0131997226809271
BIRRO,debout immobile,1,18,2024-09-19T15:39:25Z,2024-09-19T15:39:29.966667Z,0.00552143313713657,6.08108108108108,0.00706950823558192,-0.0141267446192958
BIRRO,debout immobile,1,19,2024-09-19T15:39:30Z,2024-09-19T15:39:34.966667Z,0.00533166509486312,4.05405405405405,0.00367207856501552,-0.0135423239098514
BIRRO,debout immobile,1,20,2024-09-19T15:39:35Z,2024-09-19T15:39:39.966667Z,0.00329476344800019,2.02702702702703,0.0116018199329752,-0.0137427884770147
BIRRO,debout immobile,1,21,2024-09-19T15:39:40Z,2024-09-19T15:39:44.966667Z,0.00415490708004524,4.05405405405405,0.0253877909496871,-0.0132385075183601
BIRRO,debout immobile,1,22,2024-09-19T15:39:45Z,2024-09-19T15:39:49.966667Z,0.0039465683593832,6.08108108108108,0.0128518513873901,-0.0133551331809535
BIRRO,debout immobile,1,23,2024-09-19T15:39:50Z,2024-09-19T15:39:54.966667Z,0.00362727355241921,6.08108108108108,0.058603256104175,-0.0126312229980979
BIRRO,debout immobile,1,24,2024-09-19T15:39:55Z,2024-09-19T15:39:59.966667Z,0.00394706136599759,6.08108108108108,0.0153919046214477,-0.0115017528966399
BIRRO,debout immobile,1,25,2024-09-19T15:40:00Z,2024-09-19T15:40:04.966667Z,0.00478849089995134,2.02702702702703,0.0456198479546532,-0.0112248365176213
BIRRO,debout immobile,1,26,2024-09-19T15:40:05Z,2024-09-19T15:40:09.966667Z,0.00448314200817136,6.48648648648649,0.0273982690289947,-0.011815130642518
BIRRO,debout immobile,1,27,2024-09-19T15:40:10Z,2024-09-19T15:40:14.966667Z,0.00385985597553906,6.08108108108108,0.0222041580784169,-0.0119980985359555
BIRRO,debout immobile,1,28,2024-09-19T15:40:15Z,2024-09-19T15:40:19.966667Z,0.00349241196915284,8.10810810810811,0.0551110526313805,-0.011391016335756
BIRRO,debout immobile,1,29,2024-09-19T15:40:20Z,2024-09-19T15:40:24.966667Z,0.00381466121738535,3.44594594594595,0.0301040543073149,-0.0127674588586361
BIRRO,debout immobile,1,30,2024-09-19T15:40:25Z,2024-09-19T15:40:29.966667Z,0.00466983206005185,6.08108108108108,0.0373308749343968,-0.0121002494650624
BIRRO,debout immobile,1,31,2024-09-19T15:40:30Z,2024-09-19T15:40:34.966667Z,0.00496439786915626,4.66216216216216,0.0232050765464522,-0.0120619921837152
BIRRO,debout immobile,1,32,2024-09-19T15:40:35Z,2024-09-19T15:40:39.966667Z,0.00415376306350688,4.05405405405405,0.0237662347151633,-0.0112072140703094
BIRRO,debout immobile,1,33,2024-09-19T15:40:40Z,2024-09-19T15:40:44.966667Z,0.00465414819797994,6.08108108108108,0.0626736619969888,-0.0119057861025023
BIRRO,debout immobile,1,34,2024-09-19T15:40:45Z,2024-09-19T15:40:49.966667Z,0.00395681396898383,4.45945945945946,0.061802292822203,-0.0124920122031609
BIRRO,debout immobile,1,35,2024-09-19T15:40:50Z,2024-09-19T15:40:54.966667Z,0.00467409965268534,4.05405405405405,0.033862653116699,-0.0128408137633948
BIRRO,debout immobile,1,36,2024-09-19T15:40:55Z,2024-09-19T15:40:59.966667Z,0.00421376515636121,6.08108108108108,0.0535677278851691,-0.0112543764725557
BIRRO,marche spontanee,1,1,2024-09-19T15:41:30Z,2024-09-19T15:41:34.966667Z,0.27063728595347,1.82432432432432,0.00643613265959709,0.0160397197273224
BIRRO,marche spontanee,1,2,2024-09-19T15:41:35Z,2024-09-19T15:41:39.966667Z,0.387505342132697,2.02702702702703,0.00143070520213138,0.0450277933823464
BIRRO,marche spontanee,1,3,2024-09-19T15:41:40Z,2024-09-19T15:41:44.966667Z,0.417183724390388,2.02702702702703,0.00204533686291695,0.054439480215813
BIRRO,marche spontanee,1,4,2024-09-19T15:41:45Z,2024-09-19T15:41:49.966667Z,0.387474188511361,1.82432432432432,0.00734689903029048,-0.0194602618257155
BIRRO,marche spontanee,1,5,2024-09-19T15:41:50Z,2024-09-19T15:41:54.966667Z,0.34878669754065,1.82432432432432,0.00593346602103475,-0.0307259962345057
BIRRO,marche spontanee,1,6,2024-09-19T15:41:55Z,2024-09-19T15:41:59.966667Z,0.491837491547611,2.02702702702703,0.00181084425860374,0.0162565904299853
BIRRO,marche spontanee,1,7,2024-09-19T15:42:00Z,2024-09-19T15:42:04.966667Z,0.495257467357269,2.02702702702703,0.00017024799326667,0.0880451287264584
BIRRO,marche spontanee,1,8,2024-09-19T15:42:05Z,2024-09-19T15:42:09.966667Z,0.514421087204699,2.02702702702703,0.000858269063468898,0.138192410905759
BIRRO,marche spontanee,1,9,2024-09-19T15:42:10Z,2024-09-19T15:42:14.966667Z,0.502447213090079,2.02702702702703,9.87492114894622e-05,0.108909773314885
BIRRO,marche spontanee,1,10,2024-09-19T15:42:15Z,2024-09-19T15:42:19.966667Z,0.506935076048381,2.02702702702703,0.000251070665322769,0.0790026438321164
BIRRO,marche spontanee,1,11,2024-09-19T15:42:20Z,2024-09-19T15:42:24.966667Z,0.512392868260925,2.02702702702703,0.000118379240965758,0.104795604559597
BIRRO,marche spontanee,1,12,2024-09-19T15:42:25Z,2024-09-19T15:42:29.966667Z,0.481054364540993,2.02702702702703,0.000578062503663734,0.0992216243265032
BIRRO,marche spontanee,1,13,2024-09-19T15:42:30Z,2024-09-19T15:42:34.966667Z,0.509698044151113,2.02702702702703,0.000122133458560186,0.113006758217341
BIRRO,marche spontanee,1,14,2024-09-19T15:42:35Z,2024-09-19T15:42:39.966667Z,0.528201813892239,2.02702702702703,0.000147277518072321,0.0788613045931592
BIRRO,marche spontanee,1,15,2024-09-19T15:42:40Z,2024-09-19T15:42:44.966667Z,0.520492846193976,2.02702702702703,8.12793007547919e-05,0.134992466250095
BIRRO,marche spontanee,1,16,2024-09-19T15:42:45Z,2024-09-19T15:42:49.966667Z,0.507534464566715,2.02702702702703,0.00010257064953414,0.119341725156581
BIRRO,marche spontanee,1,17,2024-09-19T15:42:50Z,2024-09-19T15:42:54.966667Z,0.497773887494868,2.02702702702703,0.0014289500118388,0.121779037188192
BIRRO,marche spontanee,1,18,2024-09-19T15:42:55Z,2024-09-19T15:42:59.966667Z,0.497915290260036,2.02702702702703,0.000960282584862548,0.0699216684976297
BIRRO,marche spontanee,1,19,2024-09-19T15:43:00Z,2024-09-19T15:43:04.966667Z,0.463956471200368,2.02702702702703,0.00725324873037785,0.10407545669035
BIRRO,marche spontanee,1,20,2024-09-19T15:43:05Z,2024-09-19T15:43:09.966667Z,0.440639516725712,2.02702702702703,0.00017289234122799,0.0705394852145623
BIRRO,marche spontanee,1,21,2024-09-19T15:43:10Z,2024-09-19T15:43:14.966667Z,0.458115406738798,2.02702702702703,0.0045020124789239,0.0759319869600316
BIRRO,marche spontanee,1,22,2024-09-19T15:43:15Z,2024-09-19T15:43:19.966667Z,0.381138044871352,1.82432432432432,0.00405073467240782,0.0851445558956624
BIRRO,marche spontanee,1,23,2024-09-19T15:43:20Z,2024-09-19T15:43:24.966667Z,0.405424391051038,1.82432432432432,0.00594790270134397,0.0368640325233232
BIRRO,marche spontanee,1,24,2024-09-19T15:43:25Z,2024-09-19T15:43:29.966667Z,0.49790819219401,1.82432432432432,0.0100645444496607,-0.0279147080204187
BIRRO,marche spontanee,1,25,2024-09-19T15:43:30Z,2024-09-19T15:43:34.966667Z,0.508701012782336,2.02702702702703,0.00438112431465116,0.0809484903226841
BIRRO,marche spontanee,1,26,2024-09-19T15:43:35Z,2024-09-19T15:43:39.966667Z,0.517127483731219,2.02702702702703,0.000152185287110361,0.103889229067799
BIRRO,marche spontanee,1,27,2024-09-19T15:43:40Z,2024-09-19T15:43:44.966667Z,0.442756274116945,2.02702702702703,0.0047274695527848,0.0949934131680108
BIRRO,marche spontanee,1,28,2024-09-19T15:43:45Z,2024-09-19T15:43:49.966667Z,0.431672101403861,2.02702702702703,0.00870460108621434,0.104378549097417
BIRRO,marche spontanee,1,29,2024-09-19T15:43:50Z,2024-09-19T15:43:54.966667Z,0.441244981503301,2.02702702702703,0.00514285333691759,0.078937082975452
BIRRO,marche spontanee,1,30,2024-09-19T15:43:55Z,2024-09-19T15:43:59.966667Z,0.43747436898382,1.82432432432432,0.00111688800436179,0.129816186848102
BIRRO,marche spontanee,1,31,2024-09-19T15:44:00Z,2024-09-19T15:44:04.966667Z,0.47319408644916,2.02702702702703,0.000340122574464054,0.104196079111564
BIRRO,marche spontanee,1,32,2024-09-19T15:44:05Z,2024-09-19T15:44:09.966667Z,0.452097397628545,2.02702702702703,0.00497850964690073,0.0721037586737441
BIRRO,marche spontanee,1,33,2024-09-19T15:44:10Z,2024-09-19T15:44:14.966667Z,0.469817116618057,2.02702702702703,0.0061507446257556,0.140005324819191
BIRRO,marche spontanee,1,34,2024-09-19T15:44:15Z,2024-09-19T15:44:19.966667Z,0.444323003114255,1.82432432432432,0.00996607767081795,0.0334708501765869
BIRRO,marche spontanee,1,35,2024-09-19T15:44:20Z,2024-09-19T15:44:24.966667Z,0.494166252522391,2.02702702702703,0.000649119135883861,0.142440545341661
BIRRO,marche spontanee,1,36,2024-09-19T15:44:25Z,2024-09-19T15:44:29.966667Z,0.498260041074741,2.02702702702703,0.00303677249203364,0.159226770512159
