ID;date;activity;phase;start;end;notes
TETHE;19/09/2024;escalier montee;5;13:23:55;13:24:12;
TETHE;19/09/2024;escalier descente;5;13:24:12;13:24:25;
MONMA;19/09/2024;assis immobile;;14:17:30;14:20:30;
MONMA;19/09/2024;debout immobile;;14:23:00;14:24:00;
MONMA;19/09/2024;marche spontanee;;14:24:30;14:27:30;
MONMA;19/09/2024;marche lente;;14:31:30;14:34:30;
MONMA;19/09/2024;marche rapide;;14:35:00;14:38:00;
MONMA;19/09/2024;course spontanee;;14:38:30;14:41:30;
MONMA;19/09/2024;velo spontanee;;14:43:30;14:46:30;
MONMA;19/09/2024;escalier montee;1;14:49:30;14:49:45;
MONMA;19/09/2024;escalier descente;1;14:49:45;14:49:52;
MONMA;19/09/2024;escalier montee;2;14:49:52;14:50:04;
MONMA;19/09/2024;escalier descente;2;14:50:04;14:50:15;
MONMA;19/09/2024;escalier montee;3;14:50:15;14:50:27;
MONMA;19/09/2024;escalier descente;3;14:50:27;14:50:38;
MONMA;19/09/2024;escalier montee;4;14:50:38;14:50:50;
MONMA;19/09/2024;escalier descente;4;14:50:50;14:51:00;
MONMA;19/09/2024;escalier montee;5;14:51:00;14:51:12;
MONMA;19/09/2024;escalier descente;5;14:51:12;14:51:22;
MONMA;19/09/2024;escalier montee;6;14:51:22;14:51:33;
MONMA;19/09/2024;escalier descente;6;14:51:33;14:51:43;
MONMA;19/09/2024;escalier montee;7;14:51:43;14:51:55;
MONMA;19/09/2024;escalier descente;7;14:51:55;14:52:05;
MONMA;19/09/2024;escalier montee;8;14:52:05;14:52:20;
MONMA;19/09/2024;escalier descente;8;14:52:20;14:52:27;
GLEMA;19/09/2024;assis immobile;;13:27:02;13:30:02;
GLEMA;19/09/2024;debout immobile;;13:30:32;13:33:32;
GLEMA;19/09/2024;marche spontanee;;13:34:02;13:37:02;
GLEMA;19/09/2024;marche lente;;13:37:32;13:40:32;
GLEMA;19/09/2024;marche rapide;;13:41:02;13:44:02;
GLEMA;19/09/2024;course spontanee;;13:44:32;13:47:32;
GLEMA;19/09/2024;velo spontanee;;13:50:00;13:53:00;
GLEMA;19/09/2024;escalier montee;1;13:54:30;13:54:42;
GLEMA;19/09/2024;escalier descente;1;13:54:42;13:54:53;
GLEMA;19/09/2024;escalier montee;2;13:54:53;13:55:04;
GLEMA;19/09/2024;escalier descente;2;13:55:04;13:55:13;
GLEMA;19/09/2024;escalier montee;3;13:55:13;13:55:25;
GLEMA;19/09/2024;escalier descente;3;13:55:25;13:55:34;
GLEMA;19/09/2024;escalier montee;4;13:55:34;13:55:46;
GLEMA;19/09/2024;escalier descente;4;13:55:46;13:55:56;
GLEMA;19/09/2024;escalier montee;5;13:55:56;13:56:08;
GLEMA;19/09/2024;escalier descente;5;13:56:08;13:56:17;
GLEMA;19/09/2024;escalier montee;6;13:56:17;13:56:29;
GLEMA;19/09/2024;escalier descente;6;13:56:29;13:56:38;
GLEMA;19/09/2024;escalier montee;7;13:56:38;13:56:50;
GLEMA;19/09/2024;escalier descente;7;13:56:50;13:56:59;
GLEMA;19/09/2024;escalier montee;8;13:56:59;13:57:10;
GLEMA;19/09/2024;escalier descente;8;13:57:10;13:57:17;
GLEMA;19/09/2024;escalier montee;9;13:57:17;13:57:32;
GLEMA;19/09/2024;escalier descente;9;13:57:32;13:57:41;
PRITH;19/09/2024;assis immobile;;13:42:00;13:45:00;
PRITH;19/09/2024;debout immobile;;13:45:30;13:48:30;
PRITH;19/09/2024;marche spontanee;;13:49:00;13:52:00;
PRITH;19/09/2024;marche lente;;13:52:30;13:55:30;
PRITH;19/09/2024;marche rapide;;13:56:00;13:59:00;
PRITH;19/09/2024;course spontanee;;13:59:30;14:02:30;
PRITH;19/09/2024;velo spontanee;;14:03:05;14:06:05;
PRITH;19/09/2024;escalier montee;1;14:08:00;14:08:08;
PRITH;19/09/2024;escalier descente;1;14:08:08;14:08:18;
PRITH;19/09/2024;escalier montee;2;14:08:18;14:08:26;
PRITH;19/09/2024;escalier descente;2;14:08:26;14:08:37;
PRITH;19/09/2024;escalier montee;3;14:08:37;14:08:46;
PRITH;19/09/2024;escalier descente;3;14:08:46;14:08:56;
PRITH;19/09/2024;escalier montee;4;14:08:56;14:09:05;
PRITH;19/09/2024;escalier descente;4;14:09:05;14:09:15;
PRITH;19/09/2024;escalier montee;5;14:09:15;14:09:23;
PRITH;19/09/2024;escalier descente;5;14:09:23;14:09:35;
PRITH;19/09/2024;escalier montee;6;14:09:35;14:09:43;
PRITH;19/09/2024;escalier descente;6;14:09:43;14:09:53;
PRITH;19/09/2024;escalier montee;7;14:09:53;14:10:02;
PRITH;19/09/2024;escalier descente;7;14:10:02;14:10:11;
PRITH;19/09/2024;escalier montee;8;14:10:11;14:10:20;
PRITH;19/09/2024;escalier descente;8;14:10:20;14:10:30;
PRITH;19/09/2024;escalier montee;9;14:10:30;14:10:37;
PRITH;19/09/2024;escalier descente;9;14:10:37;14:10:48;
PRITH;19/09/2024;escalier montee;10;14:10:48;14:10:57;
PRITH;19/09/2024;escalier descente;10;14:10:57;14:11:00;
ROBHO;19/09/2024;assis immobile;;14:39:00;14:42:00;
ROBHO;19/09/2024;debout immobile;;14:42:30;14:45:30;
ROBHO;19/09/2024;marche spontanee;;14:46:00;14:49:00;
ROBHO;19/09/2024;marche lente;;14:49:30;14:52:30;
ROBHO;19/09/2024;marche rapide;;14:53:00;14:56:00;
ROBHO;19/09/2024;course spontanee;;14:56:30;14:59:30;
ROBHO;19/09/2024;velo spontanee;;15:00:04;15:03:04;
ROBHO;19/09/2024;escalier montee;1;15:05:00;15:05:07;
ROBHO;19/09/2024;escalier descente;1;15:05:07;15:05:16;
ROBHO;19/09/2024;escalier montee;2;15:05:16;15:05:25;
ROBHO;19/09/2024;escalier descente;2;15:05:25;15:05:36;
ROBHO;19/09/2024;escalier montee;3;15:05:36;15:05:45;
ROBHO;19/09/2024;escalier descente;3;15:05:45;15:05:55;
ROBHO;19/09/2024;escalier montee;4;15:05:55;15:06:04;
ROBHO;19/09/2024;escalier descente;4;15:06:04;15:06:14;
ROBHO;19/09/2024;escalier montee;5;15:06:14;15:06:22;
ROBHO;19/09/2024;escalier descente;5;15:06:22;15:06:34;
ROBHO;19/09/2024;escalier montee;6;15:06:34;15:06:41;
ROBHO;19/09/2024;escalier descente;6;15:06:41;15:06:50;
ROBHO;19/09/2024;escalier montee;7;15:06:50;15:06:57;
ROBHO;19/09/2024;escalier descente;7;15:06:57;15:07:07;
ROBHO;19/09/2024;escalier montee;8;15:07:07;15:07:15;
ROBHO;19/09/2024;escalier descente;8;15:07:15;15:07:26;
ROBHO;19/09/2024;escalier montee;9;15:07:26;15:07:34;
ROBHO;19/09/2024;escalier descente;9;15:07:34;15:07:43;
ROBHO;19/09/2024;escalier montee;10;15:07:43;15:07:51;
ROBHO;19/09/2024;escalier descente;10;15:07:51;15:08:00;
